"","rank","song","singer","music_director","lyricist","movie","actors","year"
"904",22,"Ooe Ooe Chori Chori Bate Ho, Ooe Ooe Aise Mulakate Ho ","ZohebHassan","Biddu","Amit Khanna","Star","Rati Agnihotri, Kumar Gaurav",1982
"905",23,"Mere Mahabub Tujhe Salaam ","AshaBhosle,MohammedRafi","","","Baghaawat","Dharmendra",1982
"906",24,"Yeh Jamin Ga Rahee Hain, Aasmaan Ga Raha Hain ","AmitKumar","R D Burman","Anand Bakshi","Teri Kasam","Kumar Gaurav, Poonam Dhillon",1982
"907",25,"Pyar Mein Dil Pe ","KishoreKumar,AshaBhosle","R D Burman","Anjaan","Mahaan","Waheeda Rehman, Parveen Babi, Amitabh Bachchan",1982
"908",26,"Jabase Tumako Dekhaa Kahate Hain ","AshaBhosle,KishoreKumar","R D Burman","Majrooh Sultanpuri","Kaalia","Amitabh Bachchan, Parveen Babi",1982
"909",27,"Sara Din Satate Ho Raato Ko Jagate Ho ","AshaBhosle,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Raaste Pyar Ke","",1982
"910",28,"Bandhuo Bajaaiye Dhol Bajaaiye Baja ","AlkaYagnik,AnuradhaPaudwal,Hemlata,Kanchan,KishoreKumar,Padmini,SadhanaSargam,ShivangiKolhapure","Kalyanji Anandji","Anand Bakshi","Vidhaata","Sanjay Dutt, Padmini Kolhapure, Shammi Kapoor",1982
"911",29,"Jaha Teri Yeh Najar Hai ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Kaalia","Amjad Khan, Amitabh Bachchan",1982
"912",30,"Mere Dildaar Ka Baankpan Haay Baankpan ","KishoreKumar,MohammedRafi","Laxmikant Pyarelal","Sahir Ludhianvi","Deedar-E-Yaar","",1982
"913",31,"Meri Kismat Me Tu Nahi Sayad ","SureshWadkar,LataMangeshkar","Laxmikant Pyarelal","Amir Qazalbash","Prem Rog","Tanuja, Shammi Kapoor, Rishi Kapoor, Padmini Kolhapure, Nanda",1982
"914",32,"Tere Jaisa Yaar Kaha, Kaha Aisa Yaaraana ","KishoreKumar","Rajesh Roshan","Anjaan","Yaarana","Amitabh Bachchan, Neetu Singh",1982
"915",33,"Meghaa Re Meghaa Re Mat Parades Jaa Re ","LataMangeshkar,SureshWadkar","Laxmikant Pyarelal","Santosh Anand","Pyaasa Sawan","Deven Verma, Jeetendra, Moushumi Chatterjee, Reena Roy",1982
"916",1,"Shayad Meri Shaadi Ka Khayaal, Dil Me Aaya Hai ","LataMangeshkar,KishoreKumar","Usha Khanna","Saawan Kumar","Souten","Rajesh Khanna, Tina Munim",1983
"917",2,"Dil Ki Ye Aarazu Thi Koi Dilarubaa Mile ","MahendraKapoor,SalmaAgha","Ravi","Hasan Kamal","Nikaah","Raj Babbar, Salma Agha",1983
"918",3,"Dil Ke Aramaan Aansuon Me Bah Gaye ","SalmaAgha","Ravi","Hasan Kamal","Nikaah","Salma Agha",1983
"919",4,"Jab Hum Jawan Honge, Janey Kahan Honge ","LataMangeshkar,ShabbirKumar","R D Burman","Anand Bakshi","Betaab","Amrita Singh, Prem Chopra, Shammi Kapoor, Sunny Deol",1983
"920",5,"Taa Thayyaa, Nainon Mein Sapana ","KishoreKumar,LataMangeshkar","Bappi Lahiri","Indeevar","Himmatwala","Jeetendra, Sridevi",1983
"921",6,"Bandhuo Bajaaiye Dhol Bajaaiye Baja ","AlkaYagnik,AnuradhaPaudwal,Hemlata,Kanchan,KishoreKumar,Padmini,SadhanaSargam,ShivangiKolhapure","Kalyanji Anandji","Anand Bakshi","Vidhaata","Sanjay Dutt, Padmini Kolhapure, Shammi Kapoor",1983
"922",7,"Aye Dil-E-Nadan ","LataMangeshkar","Khayyam","Jan Nisar Akhtar","Razia Sultan","Hema Malini",1983
"923",8,"I Am A Disco Dancer, Zindagi Mera Gana, Mai Kisi Ka Deewana ","VijayBenedict","Bappi Lahiri","Anjaan","Disco Dancer","Mithun Chakraborty",1983
"924",9,"Udi Baba Udi Baba Udi Baba ","AshaBhosle","Kalyanji Anandji","Anand Bakshi","Vidhaata","Sanjay Dutt, Dilip Kumar, Padmini Kolhapure, Sarika",1983
"925",10,"Tujh Sang Prit Lagaai Sajanaa ","LataMangeshkar,KishoreKumar","Rajesh Roshan","Indeevar","Kaamchor","Rakesh Roshan, Jaya Prada",1983
"926",11,"Lakadi Ki Kaathi Kaathi Pe Ghodaa ","GauriBapat,GurpreetKaur,VanitaMishra","R D Burman","Gulzar","Masoom","Shabana Azmi, Naseeruddin Shah",1983
"927",12,"Meri Kismat Me Tu Nahi Sayad ","SureshWadkar,LataMangeshkar","Laxmikant Pyarelal","Amir Qazalbash","Prem Rog","Tanuja, Shammi Kapoor, Rishi Kapoor, Padmini Kolhapure, Nanda",1983
"928",13,"Zindagi Pyaar Kaa Git Hai Ise Har Dil Ko Gaanaa Padegaa ","KishoreKumar","Usha Khanna","Saawan Kumar","Souten","Rajesh Khanna, Tina Munim, Padmini Kolhapure",1983
"929",14,"Zamana To Hai Naukar Biwi Ka ","NishiKohli,KishoreKumar","Bappi Lahiri","Anjaan","Naukar Biwi Ka","Anita Raaj, Dharmendra",1983
"930",15,"Takee O Takee Takee Takee Re ","AshaBhosle,KishoreKumar","Bappi Lahiri","Indeevar","Himmatwala","Sridevi, Jeetendra",1983
"931",16,"Zamaane Mein Sabse Puraani ","LataMangeshkar,AmitKumar","R D Burman","Anand Bakshi","Lovers","",1983
"932",17,"Yaad Teri Aaegi, Mujhko Bada Sataaegi ","ShabbirKumar","Anu Malik","Shahryar","Ek Jaan Hain Hum","Rajiv Kapoor",1983
"933",18,"Sajna Sun Sun Meri Chaabi ","LataMangeshkar","Rajesh Roshan","Majrooh Sultanpuri","Rishta Kagaz Ka","",1983
"934",19,"Likhane Wale Ne Likh Dale, Milan Ke Sath Vichhode ","LataMangeshkar,SureshWadkar","Laxmikant Pyarelal","Anand Bakshi","Arpan","Parveen Babi, Jeetendra",1983
"935",20,"Jimmy Aaja, Aaja Re Mere Sath Yeh Zagi Zagi Raat Pukare Tujhe ","ParvatiKhan","Bappi Lahiri","Anjaan","Disco Dancer","Mithun Chakraborty",1983
"936",21,"Humka Le Chal Yara Thandi Thandi Nahar Ke Kinare ","LataMangeshkar,MahendraKapoor","Uttam Jagdish","Manoj Kumar","Painter Babu","Meenakshi Seshadri, Rajeev Goswami",1983
"937",22,"Humne Sanam Ko Khat Likha ","LataMangeshkar","R D Burman","Anand Bakshi","Shakti","Amitabh Bachchan, Smita Patil",1983
"938",24,"Mama Miya Pom Pom ","AshaBhosle,KishoreKumar","Bappi Lahiri","Indeevar","Justice Choudhary","Sridevi, Jeetendra",1983
"939",25,"Jindgi Mauj Udane Kaa Nam Hai ","AlkaYagnik,MahendraKapoor,SureshWadkar","Laxmikant Pyarelal","Anand Bakshi","Avtaar","Shashi Kapoor, Rajesh Khanna",1983
"940",26,"Yaar Ladki Shaandar Hai ","BhupinderSingh,MahendraKapoor","Uttam Jagdish","Qateel Shifai","Painter Babu","Meenakshi Seshadri, Rajeev Goswami, Tun Tun",1983
"941",27,"Javaani Javaani Jalti Javaani ","AshaBhosle,KishoreKumar","Bappi Lahiri","Indeevar","Jaani Dost","Jeetendra",1983
"942",28,"Jalataa Hai Badan ","LataMangeshkar","Khayyam","Kaifi Azmi","Razia Sultan","",1983
"943",29,"Ye Andha Kanun Hai Jane Kaha Daga De De ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Andhaa Kaanoon","Rajinikanth, Amitabh Bachchan",1983
"944",30,"Chupke Chupke Raat Din ","GhulamAli","Ghulam ali","Hasrat Mohani","Nikaah","Deepak Parashar, Salma Agha",1983
"945",31,"Bachke Rehna Re Baba Tujh Pe Nazar Hai ","RDBurman,AshaBhosle,KishoreKumar","R D Burman","Gulshan Bawra","Pukar","Randhir Kapoor",1983
"946",1,"Tu mera jânoo hai,
  tu mera dilbar hai","AnuradhaPaudwal,ManharUdhas","LaxmikantPyarelal","AnandBakshi","Hero",NA,1984
"947",2,"Jahâñ châr yâr mil jayeiñ","KishoreKumar,AmitabhBachchan","BappiLahiri","Anjaan,PrakashMehra","Sharaabi",NA,1984
"948",3,"Pyar kaa tohfa tera,
  bana hai jeevan mera","AshaBhosle,KishoreKumar","BappiLahiri","Indeewar","Tohfa",NA,1984
"949",4,"Ek aankh maroon toh parda hat jaye","AshaBhosle,KishoreKumar","BappiLahiri","Indeewar","Tohfa",NA,1984
"950",5,"Dono jawani ki masti
  mein choor (Accident ho gaya, Rabba,
  Rabba)","ShabbirKumar,AshaBhosle","LaxmikantPyarelal","AnandBakshi","Coolie",NA,1984
"951",6,"De de, pyar de,  pyar de","KishoreKumarAshaBhosle","BappiLahiri","Anjaan,","Sharaabi",NA,1984
"952",7,"Mujhe naulakha mangwa de re","KishoreKumar,AshaBhosle","BappiLahiri","Anjaan","Sharaabi",NA,1984
"953",8,"Yaad teri aayegi, mujhko bada satayegi","ShabbirKumar","AnuMalik","Anjaan","EkJaanHainHam",NA,1984
"954",9,"Hamein aur jeeney ki châhat
  na hoti","LataMangeshkarKishoreKumar","RahulDevBurman","GulshanBawra","AgarTumNaHote",NA,1984
"955",10,"Ui, mar gayi, ui, Doctor babu dér na
  karna","KavitaKrishnamurthy","LaxmikantPyarelal","AnandBakshi","GharEkMandir",NA,1984
"956",11,"Jhonprhi mein charpai…pyar kaa kar
  le hangâmâ","AshaBhosle,KishoreKumar","BappiLahiri","Indeewar","Mawaali",NA,1984
"957",12,"Pyar karne waley kabhi
  darte nahin","ManharUdhas,LataMangeshkar","LaxmikantPyarelal","AnandBakshi","Hero",NA,1984
"958",13,"Ding dong, o baby,
  sing a song","ManharUdhas,AnuradhaPaudwal","LaxmikantPyarelal","AnandBakshi","Hero",NA,1984
"959",14,"Bol do meethey bol, Sohni-ay, bhed diloñ kay khol,  Sohni-ay","AshaBhosle,ShabbirKumar","AnuMalik","AnandBakshi","SohniMahiwal",NA,1984
"960",15,"Tum itna jo muskura rahe ho, kya
  gham hai jisko chhupa rahe ho?","JagjitSingh","JagjitChitraSingh","KaifiAzmi","Arth",NA,1984
"961",16,"Sajna sun-sun; meri chaabi ki chhun-chhun","LataMangeshkar","RajeshRoshan","MajroohSultanpuri","RishtaKagazKa",NA,1984
"962",17,"Haye, haye garmi hai","KishoreKumar,SJanaki","BappiLahiri","Indeewar","Maqsad",NA,1984
"963",18,"O Boribunder, chhupa kay pallu kay andar maal jo rakha hai","MahendraKapoor,UshaMangeshkar","RaamLaxman","DadaKondke","TereMereBeechMein",NA,1984
"964",19,"Daftar ko der ho gayi","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Haisiyat",NA,1984
"965",20,"Mujhe peeney kaa shauq
  nahin, peeta hoon gham bhulaney
  ko","ShabbirKumar,AnuradhaPaudwal","LaxmikantPyarelal","AnandBakshi","Coolie",NA,1984
"966",21,"Rabb mujhe maaf kare
  (Sohni, meri  sohni sohni)","AshaBhosle,Anwar","AnuMalik","AnandBakshi","SohniMahiwal",NA,1984
"967",22,"Yahoo, yahoo, haye, tumsa nahin
  dekha","KishoreKumar,TinaMunim","BappiLahiri","Anjaan","Wanted",NA,1984
"968",23,"Dhakkam-dhakka hua, pyar barha,
  pakka hua","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Kaamyab",NA,1984
"969",24,"Sarey badan mein zeher
  charh gaya, bichhoo larh gaya re mohey","KishoreKumar,AshaBhosle","LaxmikantPyarelal","AnandBakshi","Inquilaab",NA,1984
"970",25,"Neele-neele ambar par chaand jab aaye","KishoreKumar","KalyanjiAnandji","Indeewar","Kalakaar",NA,1984
"971",26,"Devi, O baby, main
  ne kaha tu ban ja meri biwi","KishoreKumar","BappiLahiri","Indeewar","Maqsad",NA,1984
"972",27,"Jawani ka khazana hai,
  romance kaa zamana hai","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Qaidi",NA,1984
"973",28,"Badal yooñ garajta hai (","LataMangeshkar,ShabbirKumar","RahulDevBurman","AnandBakshi","Betaab",NA,1984
"974",29,"Gori terey ang-ang mein, roop rang kay saje hué kalsay","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Tohfa ",NA,1984
"975",30,"Albela mausam, kehta hai, ‘Swagatam’ (Mehki kyon gali gali?)","LataMangeshkar,KishoreKumar,KavitaPaudwal","BappiLahiri","Indeewar","Tohfa",NA,1984
"976",31,"Sohni Chenab di kinare","AnupamaDeshpande","AnuMalik","AnandBakshi","Sohni-Mahiwal",NA,1984
"977",32,"Ek number kaa ladka, aha, ek number ki ladki","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Kaamyab",NA,1984
"978",33,"Lambu ji,  Lambu ji / Bolo Tingu ji","ShabbirKumar,ShailenderSingh","LaxmikantPyarelal","AnandBakshi","Coolie",NA,1984
"979",34,"Pehla-pehla pyar na bhooley","SalmaAgha","Ravi","HassanKamal","Mazdoor",NA,1984
"980",35,"Hey, gussa chhorh, dil na torh","KishoreKumar","BappiLahiri","Indeewar","Maqsad",NA,1984
"981",1,"Sun saiba, sun, pyar
  ki dhun","LataMangeshkar","RavindraJain","HasratJaipuri","RamTeriGangaMailiHoGayi",NA,1985
"982",2,"Tum se mil kar, na
  janey kyon","KavitaKrishnamurthy,ShabbirKumar","LaxmikantPyarelal","AnandBakshi","PyarJhuktaNahin",NA,1985
"983",3,"Yeh raat mein jo mazaa hai","SalmaAgha","BappiLahiri","Indeewar","KasamPaidaKarneWaleKi",NA,1985
"984",4,"Chummâ,  chummâ,  chummâ, chummâ","SalmaAgha","BappiLahiri","Indeewar","PaataalBhairavi",NA,1985
"985",5,"Daftar ko der ho gayi","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Haisiyat   ",NA,1985
"986",6,"Chahey laakh toofan aaye, chahey jaan bhi ab  jaye","LataMangeshkar,ShabbirKumar","LaxmikantPyarelal","AnandBakshi","PyarJhuktaNahin",NA,1985
"987",7,"O meri jaan, ab nahin rehna tere
  bina","AshaBhosle,ShailenderSingh","RahulDevBurman","GulshanBawra","ManzilManzil",NA,1985
"988",8,"Jeene de yeh duniya, chahey
  maar daley","AshaBhosle","RahulDevBurman","AnandBakshi","Lava",NA,1985
"989",9,"O Maria!  O Maria! Johnny jab bulata tujhko","AshaBhosle, SPBalsubramaniam","‘RahulDevBurman’","JavedAkhtar","Saagar",NA,1985
"990",10,"Tum yaad na aaya karo","LataMangeshkar,ShabbirKumar","LaxmikantPyarelal","AnandBakshi","JeeneNahinDoonga",NA,1985
"991",11,"Sri Devi…tu nahin,
  par us-se milti julti teri soorat hai","KishoreKumar","LaxmikantPyarelal","AnandBakshi","Sarfarosh",NA,1985
"992",12,"Tu rootha toh main ro doongi, ai
  sanam","AshaBhosle","RahulDevBurman","GulshanBawra","Jawani",NA,1985
"993",13,"Kaisi lag rahi hoon main, kahiye kya khayaal
  hai?","LataMangeshkar,KishoreKumar","RahulDevBurman","MajroohSultanpuri","JhoothaSach",NA,1985
"994",14,"Tumhein apna saathi banane
  say pehley","LataMangeshkar,ShabbirKumar","LaxmikantPyarelal","SHBihari","PyarJhuktaNahin",NA,1985
"995",15,"Zihâl-e-maskeeñ makun-ba-ranjish, bahâl-e-hijrâñ bechara dil hai
  (Sunai deti hai jis ki
  dhadkan)","LataMangeshkar,ShabbirKumar","LaxmikantPyarelal","Gulzar","Ghulami",NA,1985
"996",16,"Maamiya carrow mama (Duniya maney bura toh
  goli maro)","ShailenderSingh","RahulDevBurman","JavedAkhtar","Arjun",NA,1985
"997",17,"Dhoop mein nikala na
  karo roop ki rani","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Geraftaar",NA,1985
"998",18,"Zindagi har qadam ik
  nai jung hai","LataMangeshkar, Munna","LaxmikantPyarelal","AnandBakshi","MeriJung",NA,1985
"999",19,"Ram teri Ganga maili
  ho gayi","LataMangeshkarSureshWadkar","RavindraJain","RavindraJain","RamTeriGangaMailiHoGayi",NA,1985
"1000",20,"Teri meherbaniyan, teri
  qadardaniyan, qurban tujh pe","ShabbirKumar","LaxmikantPyarelal","SHBihari","TeriMeherbaniyan",NA,1985
"1001",21,"Mehmaan nazar ki ban ja, ik raat
  ke liye","KishoreKumar,LataMangeshkar","BappiLahiri","Indeewar","PaataalBhairavi",NA,1985
"1002",22,"Saagar kinarey, dil yeh pukarey","KishoreKumar,LataMangeshkar","Saagar","RahulDevBurman","Saagar",NA,1985
"1003",23,"Yaar bina chaen kahan
  ray? (Sona nahin, chandi nahin, yar toh mila)","BappiLahiri,SJanaki","BappiLahiri","Anjaan","Saheb",NA,1985
"1004",24,"Paas aa-o, na, jaaney do na","AshaBhosle, SPBalsubramaniam","RahulDevBurman","JavedAkhtar","Saagar",NA,1985
"1005",25,"Hay baba, ray baba, mar gay ek din","AshaBhosle","RahulDevBurman","MajroohSultanpuri","ManzilManzil",NA,1985
"1006",26,"Ai, merey mehboob,
  meri zindagi","ShabbirKumar,SalmaAgha","BappiLahiri","HasanKamaal","Salma",NA,1985
"1007",27,"Tu vaada na torh,
  meri charhti jawani tarsey","LataMangeshkar","RajeshRoshan","RajeshRoshan","DilTumKoDiya",NA,1985
"1008",28,"Dil bé-qarar tha,   dil bé-qarar hai","AnuradhaPaudwal,ShabbirKumar","LaxmikantPyarelal","SHBihari","TeriMeherbaniyan",NA,1985
"1009",29,"Muhabbat say chalti hai duniya
  (saanson say nahin, qadmon say nahin)","KishoreKumar","BappiLahiri","Indeewar","Mohabbat",NA,1985
"1010",30,"Ik baat dil mein
  aayi hai, kahooñ yaañ na
  kahooñ?","LataMangeshkar,KishoreKumar","RahulDevBurman","GulshanBawra","RahiBadalGaye",NA,1985
"1011",31,"Dil mein aag lagaaye
  saawan ka maheena","KishoreKumar","RahulDevBurman","AnandBakshi","AlagAlag",NA,1985
"1012",32,"Diwana, diwana dil, sangeet
  ka diwana","BappiLahiri","BappiLahiri","Indeewar","Hoshiyar",NA,1985
"1013",33,"Joban anmol bâlma","AshaBhosle","Ravi","HassanKamal","Tawaif",NA,1985
"1014",34,"Hum chup haiñ ki dil sun rahe
  haiñ","KishoreKumar,LataMangeshkar","ShivHari","Shehryar","Faasle",NA,1985
"1015",35,"Man kyoñ behka,
  ray, behka aadhi raat ko?","LataMangeshkar,AshaBhosle","LaxmikantPyarelal","VasantDev","Utsav",NA,1985
"1016",36,"Kabhi bé-kasi ney maara
  ( Yeh ghazal hai, na geet
  koi)","KishoreKumar","RahulDevBurman","AnandBakshi","AlagAlag",NA,1985
"1017",37,"Tum hi se raushan hai
  raat meri","TalatAziz,AshaBhosle","Khayyam","BasharNawaz","Lorie",NA,1985
"1018",1,"Yashoda ka Nand-lâlâ, Braj ka ujala hai","LataMangeshkar","LaxmikantPyarelal","Anjaan","Sanjog",NA,1986
"1019",2,"Tarzan,
  O my Tarzan","AlishaChinoy","BappiLahiri","Anjaan","Tarzan",NA,1986
"1020",3,"Duniya mein kitna gham hai,
  mera gham kitna kam hai","MuhammadAziz","LaxmikantPyarelal","AnandBakshi","Amrit",NA,1986
"1021",4,"Har karam apna kareingay, ai sanam terey
  liye","KavitaKrishnamurthy,Munna","LaxmikantPyarelal","AnandBakshi","Karma",NA,1986
"1022",5,"Pyar do, pyar lo
  (Ik to kam zindagani)","SadhanaSargam,ManharUdhas","KalyanjiAnandji","Indeewar","Janbaaz",NA,1986
"1023",6,"Zindagi har qadam ik nai
  jung hai","LataMangeshkar,Munna","LaxmikantPyarelal","AnandBakshi","MeriJung",NA,1986
"1024",7,"Sun
  Ruby-a, pyar ho gaya","ShabbirKumar,SJanaki","AnuMalik","RajinderKrishan","Mard",NA,1986
"1025",8,"Gori
  ka saajan, saajan ki gori","SJanaki,MohdAziz","LaxmikantPyarelal","AnandBakshi","AakhreeRaasta",NA,1986
"1026",9,"Jee lay lay,  jee lay lay, aayo- ayo,  jee lay lay","BappiLahiri,AlishaChinoy","BappiLahiri","Anjaan","Tarzan",NA,1986
"1027",10,"Peena haraam hai, na pilaana
  haraam hai","KishoreKumar,AlkaYagnik","KalyanjiAnandji","PrakashMehra","ChamelikiShaadi",NA,1986
"1028",11,"Tera saath hai kitna pyara","KishoreKumar,SapnaMukherjee","KalyanjiAnandji","Indeewar","Janbaaz",NA,1986
"1029",12,"Baharon ki rangeeniyon ko chura kar","ShabbirKumar","LaxmikantPyarelal","SHBihari","NaseebApnaApna",NA,1986
"1030",13,"Chitthi aai hai,  aai hai,  chitthi aai hai","PankajUdhas","LaxmikantPyarelal","‘AnandBakshi’","Naam",NA,1986
"1031",14,"Jab
  jab teri soorat (Janey jânâñ, O  janey jânâñ)","SapnaMukherjee,MaheshGadhvi","KalyanjiAnandji","Indeewar","Janbaaz",NA,1986
"1032",15,"Yeh nadanoñ ki duniya hai","MohammedRafi","Naushad","KhumarBarabankvi","LoveandGod",NA,1986
"1033",16,"Pyar kiya hai pyar kareinge","KavitaKrishnamurthy,ShabbirKumar","LaxmikantPyarelal","SHBihari","PyarKiyaHaiPyarKarenge",NA,1986
"1034",17,"Ghunghta khol na,  ghunghta","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Suhagan",NA,1986
"1035",18,"Hum
  to tamboo meiñ bamboo lagaye baithe","MuhammadAziz,AshaBhosle","AnuMalik","PrayagRaaj","Mard",NA,1986
"1036",19,"Man
  kyoñ behka, ray, behka aadhi raat
  ko?","LataMangeshkar,AshaBhosle","LaxmikantPyarelal","VasantDev","Utsav ",NA,1986
"1037",20,"Dil mein aag lagaaye saawan
  ka maheena","KishoreKumar","RahulDevBurman","AnandBakshi","AlagAlag",NA,1986
"1038",21,"Wah, wah, kya rang hai","KishoreKumar,AshaBhosle","BappiLahiri","Indeewar","Simhasan",NA,1986
"1039",22,"Jis din se juda
  voh hum se huye (is dil ne dhadakna chod diya)","PankajUdhas","PankajUdhas","MumtazRashid","Aafreen",NA,1986
"1040",23,"Tujhe bulayeiñ yeh meri baaheiñ","LataMangeshkar","RavindraJain","RavindraJain","RamTeriGangaMailiHoGayi",NA,1986
"1041",24,"Main
  ne tere liye, bas tere liye","BappiLahiri","BappiLahiri","VijayAnand","Main TereLiye",NA,1986
"1042",25,"Zindagi kay paas
  hum","","RahulDevBurman","Anjaan","HumNaujawan",NA,1986
"1043",26,"Maika piya bulavey apne mandir-wa","SureshWadkar,LataMangeshkar","LaxmikantPyarelal","VasantDev","SurSangam",NA,1986
"1044",27,"Mâhi-vey, na jaiyo pardes","KavitaKrishnamurthy","LaxmikantPyarelal","AnandBakshi","Karma",NA,1986
"1045",28,"Pyaar hamara amar rahega","AshaBhosle,MuhammadAziz","BappiLahiri","SHBihari","Muddat",NA,1986
"1046",29,"Ameeron ki sham, ghareebon ke naam","MuhammadAziz","LaxmikantPyarelal","AnandBakshi","Naam",NA,1986
"1047",30,"Ek ladki jiska
  naam muhabbat","MuhammadAziz,KavitaKrishnamurthy","LaxmikantPyarelal","AnandBakshi","AagaurShola",NA,1986
"1048",31,"Chalta hai do dilon ka kaise
  sansar","KishoreKumar,PSusheela","BappiLahiri","Indeewar","Simhasan",NA,1986
"1049",32,"Bhala hai, bura hai, jaisa
  bhi hai","AnuradhaPaudwal","LaxmikantPyarelal","SHBihari","NaseebApnaApna",NA,1986
"1050",33,"Muhabbat Khuda hai (ya habibi
  ya habibi ya habibi main baitha hoon rahoñ
  mein aankhen bichhaye)","MohammedRafi","Naushad","KhumarBarabankvi","LoveandGod",NA,1986
"1051",34,"Kis pe
  jaan dijiye","","PankajUdhas","","Aafreen",NA,1986
"1052",35,"Ujiyara bhor
  ka","HemLata","RavindraJain","RavindraJain","KariyeKshama",NA,1986
"1053",36,"Ho dil
  se dil ki pappi","AshaBhosle,MuhammadAziz","BappiLahiri","Indeewar","Geraftaar",NA,1986
"1054",37,"Bol, baby, bol,
  rock ’n roll","KishoreKumar,SJanaki,JavedJafri","LaxmikantPyarelal","AnandBakshi","MeriJung",NA,1986
"1055",38,"Tu kal
  chala jayega toh main kya karoonga?","MuhammadAzizManharUdhas","LaxmikantPyarelal","AnandBakshi","Naam",NA,1986
"1056",39,"Oye kya
  cheez hai tu","ShabbirKumar","AnuMalik","AnandBakshi","Jaal",NA,1986
"1057",40,"Mujhe kehte
  hain Romeo","KishoreKumar","BappiLahiri","Indeewar","Muddat",NA,1986
"1058",41,"Yara, o yara,
  tujh se mila mujhe","LataMangeshkar, SureshWadkar","RavindraJain","RavindraJain","RamTeriGangaMailiHoGayi",NA,1986
"1059",42,"O miss, de de kiss","SureshWadkar,ShailenderSingh","LaxmikantPyarelal","PremPandit","Love86",NA,1986
"1060",1,"Chitthi aai hai… vatan
  say… barhe dinoñ kay baad (a ","PankajUdhas","LaxmikantPyarelal","‘AnandBakshi’","Naam",NA,1987
"1061",2,"Chal bhaag chalein poorab ki or","LataMangeshkar","KalyanjiAnandji","VarmaMalik","KalyugkiRamayan",NA,1987
"1062",3,"Mâhi-vey, na jaiyo pardes","KavitaKrishnamurthy","LaxmikantPyarelal","AnandBakshi","Karma",NA,1987
"1063",4,"Main naagin tu sapera (Main teri dushman…)","LataMangeshkar","LaxmikantPyarelal","AnandBakshi","Nageena",NA,1987
"1064",5,"Tujhe be-chain itna zyada kiya","MuhammadAziz","LaxmikantPyarelal","AnandBakshi","Nageena",NA,1987
"1065",6,"Dance Dance 
  Dance (Naach raha saansoñ meiñ meri)","VijayBenedict,AlishaChinai","BappiLahiri","Anjaan","DanceDance",NA,1987
"1066",7,"Andheri raton mein,
  sunsaan rahon pe, har zulm
  mitaney ko","KishoreKumar","AmarUtpal","AnandBakshi","Shahenshah",NA,1987
"1067",8,"Ameeron ki sham, ghareebon ke naam","MuhammadAziz","LaxmikantPyarelal","AnandBakshi","Naam",NA,1987
"1068",9,"Zindagi ka naam dosti
  (kuchh bhi nahin rehta is duniya mein)","NitinMukesh","RajeshRoshan","Indeewar","Khudgarz",NA,1987
"1069",10,"Dil behelta hai mera
  (mai se,  meena se na sâqi
  se)","MuhammadAziz,SadhanaSargam","RajeshRoshan","Indeewar","Khudgarz",NA,1987
"1070",11,"Dil pukare, 
  Jeeva re  Jeeva!","AshaBhosle","RahulDevBurman","Gulzar","Jeeva",NA,1987
"1071",12,"Karte hain hum pyar,  Mr. India se","KavitaKrishnamurthy,KishoreKumar","LaxmikantPyarelal","JavedAkhtar","MrIndia",NA,1987
"1072",13,"Saajan, aa jao, vaada yeh
  kar lein pyar mein","AshaBhosle,ShabbirKumar","BappiLahiri","Anjaan","AaghiAag",NA,1987
"1073",14,"De de, didi,
  football vaapis hamari","KavitaKrishnamurthy","LaxmikantPyarelal","JavedAkhtar","MrIndia",NA,1987
"1074",15,"Hawa
  Hawaii","KavitaKrishnamurthy","LaxmikantPyarelal","JavedAkhtar","MrIndia",NA,1987
"1075",16,"Dekho, dekho, mera jalwa","RemoFernandes","RemoFernandes","RemoFernandes","Jalwa",NA,1987
"1076",17,"Janey do, janey do, mujhe jaana hai","LataMangeshkar,MuhammadAziz","AmarUtpal","AnandBakshi","Shahenshah",NA,1987
"1077",18,"Aur is dil mein kya
  rakha hai, tera hi dard","AshaBhosle,SureshWadkar","KalyanjiAnandji","PrakashMehra","Imandaar",NA,1987
"1078",19,"O yâra, tu pyaron say hai pyara","KishoreKumar,Anupama","RajeshRoshan","FarooqQaiser","Kash",NA,1987
"1079",20,"Naam sarey mujhey bhool janey lagey","LataMangeshkar,MuhammadAziz","LaxmikantPyarelal","AnandBakshi","Sindoor",NA,1987
"1080",21,"Patthar kay Khuda,  patthar kay sanam","JagjitSingh","JagjitSingh","SudarshanFaakir","Passions",NA,1987
"1081",22,"Hum na rahein, tum
  na raho","AshaBhosle,ShabbirKumar","BappiLahiri","Anjaan","AaghiAag",NA,1987
